dataPlatform,schema,dataset,class,field,sourceEntityType,sourceDataType,sourceNullable,columnSize,definedBy,pk,ordinalPosition,pii,classification,nullPercentage,refersTo,V1
LBSDummyC,Customer TS2-PP1,customer_master_user,SystemUser,INTERNAL_EMAIL_ADDRESS,Column,NVARCHAR,TRUE,100,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,customer_master_user,SystemUser,ACCESSMODE,Column,INTEGER,TRUE,,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,customer_master_user,SystemUser,IS_DISABLED,Column,BIT,TRUE,,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,customer_master_user,SystemUser,FULL_NAME,Column,NVARCHAR,TRUE,200,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,customer_master_user,SystemUser,FIRST_NAME,Column,NVARCHAR,TRUE,256,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,customer_master_user,SystemUser,PREFERRED_ADDRESS_CODE,Column,INTEGER,TRUE,,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,customer_master_user,SystemUser,LAST_NAME,Column,NVARCHAR,TRUE,256,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,customer_master_user,SystemUser,WINDOWS_LIVE_ID,Column,NVARCHAR,TRUE,1024,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,customer_master_user,SystemUser,SYSTEM_USER_ID,Column,UNIQUEID,FALSE,,,TRUE,,,,,,
LBSDummyC,Customer TS2-PP1,customer_master_user,SystemUser,PREFERRED_PHONE_CODE,Column,INTEGER,TRUE,,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,customer_master_user,SystemUser,LICENSE_TYPE,Column,INTEGER,TRUE,,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,customer_master_user,SystemUser,PARENT_SYSTEM_USER_ID,Column,UNIQUEID,TRUE,,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,edit_customer_details,lbs_editcustomerdetails,OWNER_ID,Column,UNIQUEID,TRUE,,,FALSE,,,,,,
